iter	Passed	Remaining
1479	34913	59447
1480	34934	59419
1481	34954	59389
1482	34978	59366
1483	35003	59345
1484	35022	59313
1485	35044	59287
1486	35065	59259
1487	35085	59230
1488	35108	59206
1489	35128	59175
1490	35148	59147
1491	35171	59121
1492	35196	59101
1493	35217	59073
1494	35239	59047
1495	35260	59018
1496	35277	58984
1497	35299	58958
1498	35321	58932
1499	35351	58919
1500	35374	58895
1501	35395	58866
1502	35417	58840
1503	35439	58814
1504	35461	58789
1505	35483	58762
1506	35504	58733
1507	35527	58710
1508	35549	58683
1509	35569	58654
1510	35592	58629
1511	35613	58602
1512	35635	58576
1513	35659	58552
1514	35681	58527
1515	35705	58503
1516	35726	58476
1517	35748	58451
1518	35769	58422
1519	35795	58403
1520	35821	58383
1521	35844	58359
1522	35866	58333
1523	35887	58305
1524	35910	58281
1525	35933	58256
1526	35954	58228
1527	35978	58206
1528	35997	58175
1529	36017	58146
1530	36040	58121
1531	36063	58096
1532	36084	58069
1533	36105	58041
1534	36129	58019
1535	36147	57986
1536	36169	57960
1537	36199	57947
1538	36220	57920
1539	36242	57893
1540	36265	57869
1541	36285	57840
1542	36305	57811
1543	36329	57788
1544	36351	57762
1545	36374	57737
1546	36397	57714
1547	36419	57687
1548	36439	57658
1549	36464	57636
1550	36485	57610
1551	36504	57579
1552	36527	57555
1553	36548	57528
1554	36573	57505
1555	36597	57483
1556	36617	57454
1557	36637	57426
1558	36662	57403
1559	36684	57378
1560	36704	57349
1561	36727	57325
1562	36748	57297
1563	36767	57266
1564	36789	57241
1565	36811	57215
1566	36835	57193
1567	36859	57170
1568	36878	57139
1569	36899	57111
1570	36923	57088
1571	36944	57061
1572	36967	57037
1573	36991	57014
1574	37010	56985
1575	37032	56958
1576	37058	56938
1577	37081	56914
1578	37103	56889
1579	37131	56871
1580	37152	56844
1581	37174	56818
1582	37198	56796
1583	37219	56769
1584	37242	56744
1585	37266	56722
1586	37288	56696
1587	37309	56669
1588	37333	56646
1589	37355	56620
1590	37375	56591
1591	37398	56567
1592	37421	56542
1593	37457	56538
1594	37478	56511
1595	37501	56486
1596	37525	56463
1597	37545	56435
1598	37567	56409
1599	37589	56383
1600	37610	56357
1601	37631	56329
1602	37654	56305
1603	37674	56277
1604	37710	56271
1605	37745	56265
1606	37765	56236
1607	37787	56211
1608	37811	56188
1609	37833	56162
1610	37857	56139
1611	37877	56111
1612	37898	56083
1613	37921	56060
1614	37944	56036
1615	37965	56008
1616	37994	55993
1617	38014	55965
1618	38035	55937
1619	38058	55913
1620	38081	55888
1621	38101	55859
1622	38123	55834
1623	38143	55806
1624	38163	55777
1625	38184	55750
1626	38208	55727
1627	38231	55703
1628	38263	55691
1629	38291	55675
1630	38316	55653
1631	38349	55644
1632	38369	55616
1633	38392	55591
1634	38413	55564
1635	38434	55536
1636	38454	55509
1637	38477	55485
1638	38499	55459
1639	38519	55430
1640	38544	55409
1641	38566	55383
1642	38589	55358
